ALCDAYS	MJDAY30A	DSTDEPRS	GENDER_R
7	1	99	1
9	6	99	1
6	0	99	1
1	0	4	0
0	0	99	1
20	0	99	1
5	0	99	1
0	0	99	1
1	0	99	1
0	0	99	0
5	2	99	1
0	0	99	0
15	5	3	0
0	0	99	1
20	0	99	1
6	0	99	1
0	0	99	1
2	3	99	0
2	0	99	0
15	2	99	1
0	0	99	1
0	0	99	0
0	0	99	0
0	0	99	1
1	0	99	1
20	25	4	1
1	0	99	1
3	30	99	0
0	0	99	0
0	0	3	0
0	0	99	1
15	0	99	1
3	0	99	0
2	4	99	1
0	28	99	0
2	0	5	0
6	1	99	0
2	0	99	0
3	0	99	0
0	0	99	1
4	0	99	1
0	0	99	0
5	0	99	1
2	29	99	0
0	0	99	0
25	25	99	1
0	0	99	1
1	0	99	1
3	0	5	0
0	0	99	1
0	0	99	1
0	0	99	0
4	15	99	1
0	0	99	1
12	0	99	1
20	28	99	0
3	0	2	0
5	0	99	1
3	0	99	0
15	25	99	0
0	0	99	1
0	0	99	1
0	0	99	1
0	0	99	0
0	0	99	1
0	0	99	0
12	0	99	1
20	15	99	1
3	0	99	1
0	0	99	1
2	0	99	1
0	0	99	0
0	0	4	0
0	0	99	0
0	0	99	1
1	0	3	0
0	0	99	1
2	0	5	1
0	0	99	0
2	0	99	1
0	0	99	0
0	0	99	0
0	0	99	0
10	0	99	1
1	0	99	1
0	0	99	1
23	5	2	0
3	25	99	1
10	0	4	0
3	0	99	1
1	0	99	0
20	20	99	1
6	4	99	1
0	0	99	1
0	0	99	1
10	30	99	1
2	12	99	0
2	30	99	1
0	0	99	0
10	0	99	1
0	0	99	1
5	0	2	0
15	15	99	1
1	0	99	0
0	0	99	0
0	0	99	0
0	0	99	1
5	1	99	0
2	0	99	0
0	0	99	0
3	4	3	0
2	0	3	0
0	0	99	1
0	0	99	1
0	0	99	1
0	0	99	1
0	0	99	1
0	0	99	1
0	0	99	0
0	0	99	1
0	0	99	1
0	0	99	0
1	0	99	0
15	30	99	0
0	0	99	0
2	0	99	1
0	0	99	1
0	0	4	0
12	17	99	1
1	0	99	1
6	0	3	1
1	0	5	0
3	8	99	0
0	0	99	1
0	0	99	0
0	0	99	1
5	5	99	1
0	0	99	0
0	0	99	1
6	8	99	0
5	6	3	1
0	0	99	1
1	0	99	0
0	0	99	0
0	0	99	1
0	0	99	0
6	0	99	0
1	0	99	0
0	0	4	1
0	0	99	1
6	0	99	0
5	0	99	1
6	0	4	0
4	0	99	0
1	0	99	1
0	0	99	0
0	0	4	0
1	0	99	0
0	0	99	1
0	0	99	0
1	0	99	1
1	0	99	1
3	26	99	1
6	2	4	0
0	0	99	0
0	0	99	0
2	0	99	0
4	0	99	0
0	0	99	1
0	0	99	0
25	3	99	1
0	0	99	0
2	0	99	0
1	0	99	0
0	0	99	0
0	0	99	0
0	0	99	0
6	20	99	1
1	30	2	1
0	0	99	1
0	0	99	1
0	0	99	0
2	0	2	0
2	2	99	0
0	0	99	0
5	0	99	0
0	0	99	1
2	0	2	0
0	0	99	0
0	0	99	0
0	0	99	1
0	0	99	0
0	0	99	1
0	0	99	1
0	0	99	0
0	0	99	0
2	5	99	1
0	0	99	0
4	0	99	1
0	0	99	1
12	0	99	1
0	0	99	1
2	0	5	1
0	0	99	1
25	2	99	1
12	0	99	1
0	0	99	0
1	0	99	0
0	0	99	0
0	0	99	1
5	15	99	0
7	12	99	1
0	15	99	1
0	0	99	0
0	0	99	1
0	0	99	0
0	0	99	1
5	0	99	0
1	0	3	1
0	0	99	1
0	0	99	0
1	0	99	0
0	0	99	0
5	15	99	1
0	0	99	0
0	0	99	0
6	1	99	1
0	0	99	0
0	0	99	1
0	0	99	0
0	0	99	0
0	0	99	0
8	1	99	1
0	0	99	1
10	3	99	1
6	0	99	1
0	0	99	1
0	0	99	0
0	0	99	0
20	28	99	0
0	0	99	1
0	0	99	0
0	0	99	0
0	0	99	1
3	0	99	1
0	0	99	1
1	0	99	0
2	0	5	1
0	0	99	0
6	25	99	0
0	0	99	0
2	0	99	0
0	0	99	1
0	0	99	0
0	0	99	1
0	0	99	0
1	8	99	1
0	0	99	1
23	26	99	1
4	3	3	1
1	0	5	0
0	0	99	1
2	1	99	1
6	0	99	1
2	3	99	0
0	0	99	0
0	0	99	0
7	0	99	0
0	0	99	1
0	0	99	1
0	0	99	1
3	0	99	0
0	0	99	0
0	0	99	0
30	1	99	1
1	0	99	0
10	15	99	0
3	0	99	0
5	30	99	1
0	0	99	0
8	0	99	0
0	0	99	0
4	0	99	0
2	0	99	0
0	0	99	1
25	25	5	1
0	0	99	1
1	0	99	0
0	0	99	0
2	0	99	1
2	0	99	0
0	0	99	1
6	0	99	1
7	0	99	0
15	3	99	0
0	0	99	0
0	0	99	0
0	0	99	1
0	0	99	0
